"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","LambdaSteps. Проверка наличия таба ""Insights"" в репозитории.","","Tue May 12 20:49:27 UTC 2026","passed","Tue May 12 20:49:29 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1732","WebSteps. Проверка наличия таба ""Insights"" в репозитории.","","Tue May 12 20:49:49 UTC 2026","passed","Tue May 12 20:49:50 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1880","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Actions""","","Tue May 12 20:49:32 UTC 2026","passed","Tue May 12 20:49:34 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","2182","LambdaSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Tue May 12 20:49:25 UTC 2026","passed","Tue May 12 20:49:27 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1691","WebSteps. Проверка наличия таба ""Code"" в репозитории.","","Tue May 12 20:49:40 UTC 2026","passed","Tue May 12 20:49:41 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1863","WebSteps. Проверка наличия таба ""Projects"" в репозитории.","","Tue May 12 20:49:45 UTC 2026","passed","Tue May 12 20:49:47 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1944","LambdaSteps. Проверка наличия таба ""Projects"" в репозитории.","","Tue May 12 20:49:23 UTC 2026","passed","Tue May 12 20:49:25 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1735","WebSteps. Проверка наличия таба ""Actions"" в репозитории.","","Tue May 12 20:49:43 UTC 2026","passed","Tue May 12 20:49:45 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1762","WebSteps. Проверка наличия таба ""Pull requests"" в репозитории.","","Tue May 12 20:49:41 UTC 2026","passed","Tue May 12 20:49:43 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1696","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Code""","","Tue May 12 20:49:29 UTC 2026","passed","Tue May 12 20:49:31 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1720","WebSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Tue May 12 20:49:47 UTC 2026","passed","Tue May 12 20:49:49 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1932","LambdaSteps. Проверка наличия таба ""Actions"" в репозитории.","","Tue May 12 20:49:21 UTC 2026","passed","Tue May 12 20:49:23 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1766","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Security and quality""","","Tue May 12 20:49:36 UTC 2026","passed","Tue May 12 20:49:38 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1880","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Insights""","","Tue May 12 20:49:38 UTC 2026","passed","Tue May 12 20:49:40 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","3102","LambdaSteps. Проверка наличия таба ""Code"" в репозитории.","","Tue May 12 20:49:16 UTC 2026","passed","Tue May 12 20:49:19 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1735","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Pull requests""","","Tue May 12 20:49:31 UTC 2026","passed","Tue May 12 20:49:32 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","5710","Делаем скриншот с WebStepsAttachments","","Tue May 12 20:49:09 UTC 2026","passed","Tue May 12 20:49:15 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testAnnotatedAttachment"
"","817","Делаем скриншот с LambdaStepsAttachments","","Tue May 12 20:49:15 UTC 2026","passed","Tue May 12 20:49:16 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testLambdaAttchments"
"","1870","LambdaSteps. Проверка наличия таба ""Pull requests"" в репозитории.","","Tue May 12 20:49:19 UTC 2026","passed","Tue May 12 20:49:21 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1738","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Projects""","","Tue May 12 20:49:34 UTC 2026","passed","Tue May 12 20:49:36 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
