"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тесты с применением LambdaSteps","0","LambdaSteps. Проверка табов репозиторияVMaft/AllureReportPtactise.","1","0","Проверка отсутствия Issues.","0"
"0","Аттачменты с WebSteps","0","AttachmentsTests_WebSteps. Добавление аттачментов в тест.","1","0","Проверка наличия табов из списка в репозитории.","0"
"0","Тесты с использованием WebSteps","0","WebSteps. Проверка репозитория.","7","0","Проверка наличия табов из списка в репозитории.","0"
"0","Совершенно обычные параметризированные тесты.","0","PageObjects. Проверка репозиторияVMaft/AllureReportPtactise.","7","0","Проверка наличия табов из списка в репозитории.","0"
"0","Аттачменты с LambdaSteps","0","AttachmentsTests_LambdaSteps. Добавление аттачментов в тест.","1","0","Проверка наличия табов из списка в репозитории.","0"
"0","Тесты с применением LambdaSteps","0","LambdaSteps. Проверка табов репозиторияVMaft/AllureReportPtactise.","7","0","Проверка наличия табов из списка в репозитории.","0"
"0","Тесты с применением LambdaSteps","0","LambdaSteps. Проверка табов репозиторияVMaft/AllureReportPtactise.","1","0","Проверка данных таба Actions.","0"
