"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1766","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Actions""","","Tue May 12 20:04:19 UTC 2026","passed","Tue May 12 20:04:20 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1717","LambdaSteps. Проверка наличия таба ""Pull requests"" в репозитории.","","Tue May 12 20:04:05 UTC 2026","passed","Tue May 12 20:04:07 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1705","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Insights""","","Tue May 12 20:04:24 UTC 2026","passed","Tue May 12 20:04:26 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1747","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Projects""","","Tue May 12 20:04:20 UTC 2026","passed","Tue May 12 20:04:22 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","2040","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Code""","","Tue May 12 20:04:14 UTC 2026","passed","Tue May 12 20:04:17 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","2087","LambdaSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Tue May 12 20:04:10 UTC 2026","passed","Tue May 12 20:04:13 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","848","Делаем скриншот с LambdaStepsAttachments","","Tue May 12 20:04:01 UTC 2026","passed","Tue May 12 20:04:02 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testLambdaAttchments"
"","2116","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Pull requests""","","Tue May 12 20:04:17 UTC 2026","passed","Tue May 12 20:04:19 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1945","LambdaSteps. Проверка наличия таба ""Insights"" в репозитории.","","Tue May 12 20:04:13 UTC 2026","passed","Tue May 12 20:04:14 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","7016","Делаем скриншот с WebStepsAttachments","","Tue May 12 20:03:54 UTC 2026","passed","Tue May 12 20:04:01 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testAnnotatedAttachment"
"","1708","WebSteps. Проверка наличия таба ""Insights"" в репозитории.","","Tue May 12 20:04:35 UTC 2026","passed","Tue May 12 20:04:36 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1704","LambdaSteps. Проверка наличия таба ""Actions"" в репозитории.","","Tue May 12 20:04:07 UTC 2026","passed","Tue May 12 20:04:09 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1855","WebSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Tue May 12 20:04:33 UTC 2026","passed","Tue May 12 20:04:35 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","3037","LambdaSteps. Проверка наличия таба ""Code"" в репозитории.","","Tue May 12 20:04:02 UTC 2026","passed","Tue May 12 20:04:05 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1711","WebSteps. Проверка наличия таба ""Code"" в репозитории.","","Tue May 12 20:04:26 UTC 2026","passed","Tue May 12 20:04:27 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1919","Проверка наличия в репозитории ""eroshenkoam/allure-example"". Таба ""Security and quality""","","Tue May 12 20:04:22 UTC 2026","passed","Tue May 12 20:04:24 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1840","WebSteps. Проверка наличия таба ""Pull requests"" в репозитории.","","Tue May 12 20:04:28 UTC 2026","passed","Tue May 12 20:04:29 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1747","WebSteps. Проверка наличия таба ""Actions"" в репозитории.","","Tue May 12 20:04:29 UTC 2026","passed","Tue May 12 20:04:31 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1899","LambdaSteps. Проверка наличия таба ""Projects"" в репозитории.","","Tue May 12 20:04:09 UTC 2026","passed","Tue May 12 20:04:10 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1718","WebSteps. Проверка наличия таба ""Projects"" в репозитории.","","Tue May 12 20:04:31 UTC 2026","passed","Tue May 12 20:04:33 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
